,Zip Code,2017 Crime count,geoid,Total Population,Not Hispanic,NonHisp White,NonHisp Black,Hispanic,Hisp White,Hisp Black
0,90001,51,86000US90001,57942,5719,435,4936,52223,20376,217
1,90002,524,86000US90002,51826,12299,407,11002,39527,19166,186
2,90003,1456,86000US90003,70208,16578,433,15606,53630,17681,600
3,90004,267,86000US90004,63095,31130,11187,2296,31965,14424,109
4,90005,260,86000US90005,39338,19139,3040,2027,20199,4431,186
5,90006,469,86000US90006,61230,16378,2173,1900,44852,11101,222
6,90007,435,86000US90007,41979,21040,7443,4256,20939,4862,104
7,90008,356,86000US90008,32060,24144,1224,20681,7916,4366,370
8,90010,262,86000US90010,3524,3151,489,179,373,176,20
9,90011,744,86000US90011,104762,10379,623,8660,94383,37374,319
10,90012,284,86000US90012,32543,23348,5152,3979,9195,4286,95
11,90013,1181,86000US90013,11668,9891,3506,3522,1777,843,0
12,90014,531,86000US90014,7191,5949,3152,1293,1242,521,0
13,90015,449,86000US90015,19378,7009,2460,1387,12369,4154,43
14,90016,425,86000US90016,47079,22085,3272,15865,24994,14016,332
15,90017,542,86000US90017,25772,8560,3178,1270,17212,5644,102
16,90018,535,86000US90018,51639,22325,2210,16765,29314,7470,648
17,90019,310,86000US90019,68530,36250,9938,13247,32280,14362,265
18,90020,144,86000US90020,40170,26655,4612,2052,13515,6859,87
19,90021,203,86000US90021,2954,1480,545,702,1474,457,0
20,90023,291,86000US90023,46611,1519,882,244,45092,28508,179
21,90024,116,86000US90024,49737,44228,27048,869,5509,3236,42
22,90025,291,86000US90025,46520,37878,24739,1291,8642,4565,73
23,90026,244,86000US90026,67557,31604,16514,2168,35953,21296,296
24,90027,41,86000US90027,46043,36314,27252,1263,9729,3459,69
25,90028,1142,86000US90028,31122,21139,15158,2502,9983,2159,103
26,90029,750,86000US90029,40242,17954,9503,911,22288,6062,64
27,90031,344,86000US90031,38940,12552,2658,235,26388,11892,64
28,90032,267,86000US90032,47285,9001,3372,689,38284,17445,137
29,90033,580,86000US90033,49156,4477,1233,668,44679,31389,108
30,90034,122,86000US90034,57443,41164,22081,5202,16279,12050,311
31,90035,226,86000US90035,30582,27373,21466,2193,3209,1246,61
32,90036,224,86000US90036,37931,34486,23442,1836,3445,1356,96
33,90037,1151,86000US90037,61451,14294,1032,11775,47157,16208,225
34,90038,450,86000US90038,28155,12231,8287,1578,15924,3407,48
35,90039,157,86000US90039,28436,17659,10954,648,10777,5257,16
36,90041,88,86000US90041,28405,17392,8738,364,11013,6401,30
37,90042,250,86000US90042,63109,20518,9849,1640,42591,19668,203
38,90043,551,86000US90043,44328,30177,1689,26485,14151,6604,492
39,90044,563,86000US90044,90155,34167,948,31408,55988,20789,430
40,90045,227,86000US90045,41145,33809,20517,5297,7336,4276,69
41,90046,64,86000US90046,50923,45174,37597,2142,5749,2767,38
42,90047,326,86000US90047,48306,33394,648,31197,14912,7474,237
43,90048,199,86000US90048,22722,20621,17007,548,2101,1175,10
44,90049,17,86000US90049,35581,33494,28582,446,2087,1572,18
45,90056,43,86000US90056,8118,7465,1011,5938,653,341,118
46,90057,1013,86000US90057,48302,14684,2579,2059,33618,10310,134
47,90058,33,86000US90058,2674,379,90,192,2295,1041,20
48,90059,440,86000US90059,46027,15378,368,14167,30649,17199,242
49,90061,411,86000US90061,27203,10072,179,9484,17131,8633,159
50,90062,856,86000US90062,33690,12336,322,10713,21354,6078,453
51,90063,68,86000US90063,54142,1961,800,205,52181,21308,78
52,90064,109,86000US90064,27032,23365,16591,994,3667,2821,30
53,90065,138,86000US90065,46965,17904,9034,778,29061,15843,141
54,90066,165,86000US90066,59258,41465,27870,1945,17793,8676,109
55,90067,35,86000US90067,2355,2316,1801,6,39,30,0
56,90068,20,86000US90068,21450,19424,15996,700,2026,966,0
57,90069,63,86000US90069,20435,17948,14614,994,2487,1179,26
58,90071,456,86000US90071,0,0,0,0,0,0,0
59,90077,21,86000US90077,8912,8236,6845,213,676,558,0
60,90079,247,86000US90079,0,0,0,0,0,0,0
61,90094,98,86000US90094,8072,7215,3672,1033,857,392,20
62,90210,13,86000US90210,20957,19981,17079,250,976,599,0
63,90211,35,86000US90211,8129,7522,6178,129,607,417,0
64,90212,12,86000US90212,12915,12067,10110,107,848,519,17
65,90230,73,86000US90230,32692,21892,12610,2708,10800,7894,46
66,90232,53,86000US90232,14810,11262,7294,954,3548,2794,40
67,90245,9,86000US90245,16901,13827,11275,275,3074,2173,11
68,90247,60,86000US90247,47706,25166,3192,9061,22540,8553,152
69,90248,28,86000US90248,10592,6268,989,1712,4324,2376,55
70,90272,4,86000US90272,23151,22074,19326,283,1077,999,0
71,90291,405,86000US90291,27277,21969,18291,1393,5308,4020,53
72,90292,79,86000US90292,22482,20647,16404,1444,1835,1318,0
73,90293,42,86000US90293,12649,10818,7920,643,1831,828,53
74,90302,21,86000US90302,31064,17721,1845,14620,13343,7358,431
75,90304,10,86000US90304,27008,2435,765,936,24573,10538,352
76,90305,136,86000US90305,15777,13364,440,12196,2413,1430,50
77,90402,44,86000US90402,11410,10649,9285,88,761,701,0
78,90404,29,86000US90404,22201,15896,10757,1503,6305,4715,57
79,90405,11,86000US90405,28861,24223,18812,1021,4638,3828,19
80,90501,55,86000US90501,43405,25156,10489,2485,18249,7654,194
81,90502,47,86000US90502,17855,10941,2617,1583,6914,3307,10
