,Zip Code,2017 Crime count,geoid,Total Population,Not Hispanic,NonHisp White,NonHisp Black,Hispanic,Hisp White,Hisp Black,Percent NonHisp White,Percent NonHisp Black,Violent Crime Rate
0,90001,51,86000US90001,57942,5719,435,4936,52223,20376,217,0.7507507507507507,8.518863691277485,88.01905353629492
1,90002,524,86000US90002,51826,12299,407,11002,39527,19166,186,0.7853201095974992,21.22872689383707,1011.0755219387951
2,90003,1456,86000US90003,70208,16578,433,15606,53630,17681,600,0.6167388331814039,22.228236098450317,2073.8377392889697
3,90004,267,86000US90004,63095,31130,11187,2296,31965,14424,109,17.730406529835964,3.6389571281401065,423.17140819399316
4,90005,260,86000US90005,39338,19139,3040,2027,20199,4431,186,7.727896690223194,5.152778483908689,660.9385327164574
5,90006,469,86000US90006,61230,16378,2173,1900,44852,11101,222,3.5489139310795363,3.103054058468071,765.9643965376449
6,90007,435,86000US90007,41979,21040,7443,4256,20939,4862,104,17.730293718287715,10.138402534600633,1036.2324019152434
7,90008,356,86000US90008,32060,24144,1224,20681,7916,4366,370,3.817841547099189,64.50717404865877,1110.4179663131629
8,90010,262,86000US90010,3524,3151,489,179,373,176,20,13.87627695800227,5.079455164585698,7434.733257661748
9,90011,744,86000US90011,104762,10379,623,8660,94383,37374,319,0.5946812775624749,8.266356121494436,710.1811725625704
10,90012,284,86000US90012,32543,23348,5152,3979,9195,4286,95,15.831361583136157,12.226899794118552,872.6915158405802
11,90013,1181,86000US90013,11668,9891,3506,3522,1777,843,0,30.04799451491258,30.1851217003771,10121.70037709976
12,90014,531,86000US90014,7191,5949,3152,1293,1242,521,0,43.83256848838826,17.9808093450146,7384.230287859825
13,90015,449,86000US90015,19378,7009,2460,1387,12369,4154,43,12.694808545773558,7.157601403653628,2317.060584167613
14,90016,425,86000US90016,47079,22085,3272,15865,24994,14016,332,6.95002017884832,33.698676692368146,902.7379511034644
15,90017,542,86000US90017,25772,8560,3178,1270,17212,5644,102,12.331212168244607,4.927828651249418,2103.057581871799
16,90018,535,86000US90018,51639,22325,2210,16765,29314,7470,648,4.279711071089681,32.465771994035514,1036.0386529560992
17,90019,310,86000US90019,68530,36250,9938,13247,32280,14362,265,14.501678097183715,19.330220341456297,452.35663213191305
18,90020,144,86000US90020,40170,26655,4612,2052,13515,6859,87,11.481204879263132,5.108289768483943,358.4764749813293
