geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
01000US,United States,318558162,0,263359055,1247,197362672,9264,39098319,31527,2084326,6921,16425317,20829,508924,4307,676003,10701,7203494,49256,292190,6275,6911304,46644,55199107,1240,36294406,50624,1143499,18538,513491,11644,189308,6112,51097,2951,14457853,81802,2549453,37656,1246038,24520,1303415,18783
04000US06,California,38654206,0,23750224,0,14837242,2964,2158363,5552,136582,2662,5280818,8302,138956,1923,90413,3556,1107850,11565,53686,2446,1054164,10882,14903982,0,8843342,25252,103472,3722,148930,5132,73790,3314,11952,1340,5043187,33022,679309,13542,346222,8544,333087,7542
05000US06037,"Los Angeles County, CA",10057155,0,5195507,0,2687787,1416,801182,2867,18765,1032,1413105,3126,24439,745,29351,2079,220878,4218,14574,1356,206304,4134,4861648,0,2595670,16021,30131,1932,43906,3038,18256,1266,2371,458,2000806,19256,170508,4955,95893,3507,74615,3053
16000US0644000,"Los Angeles, CA",3918872,150,2013295,7076,1115526,5952,341100,4052,5972,682,446806,4376,5806,867,13646,1222,84439,2713,5885,610,78554,2723,1905577,7081,939697,10483,11923,1063,20688,1860,6047,629,910,305,871176,11122,55136,2360,32460,2040,22676,1383
31000US31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13189366,0,7257165,0,4002459,1758,849153,2971,25240,1146,2010103,4036,33286,898,35254,2382,301670,5328,17937,1430,283733,5118,5932201,0,3255747,18113,33679,1914,50369,3172,23271,1540,3076,537,2357745,21721,208314,5786,116707,3928,91607,3364
86000US90001,90001,57942,1837,5719,703,435,137,4936,655,18,29,93,66,0,28,148,120,89,45,6,17,83,40,52223,1922,20376,1332,217,133,502,401,4,9,11,17,30513,2057,600,242,439,199,161,113
86000US90002,90002,51826,1952,12299,1022,407,206,11002,951,335,314,311,180,31,35,19,25,194,112,0,28,194,112,39527,1944,19166,2075,186,108,76,69,0,28,24,41,19697,1656,378,128,196,92,182,101
86000US90003,90003,70208,1918,16578,1042,433,166,15606,1064,59,37,179,130,0,28,92,69,209,96,0,28,209,96,53630,1891,17681,1582,600,293,535,314,1,2,13,18,34192,1920,608,229,419,203,189,98
86000US90004,90004,63095,1723,31130,1160,11187,720,2296,347,42,40,15663,865,233,238,390,202,1319,315,121,130,1198,285,31965,1552,14424,1594,109,84,73,59,207,133,45,70,16362,1429,745,203,534,190,211,100
86000US90005,90005,39338,1248,19139,1001,3040,310,2027,419,127,99,13279,842,40,48,107,111,519,189,52,47,467,185,20199,1384,4431,618,186,137,154,114,10,15,0,25,14989,1403,429,184,197,115,232,136
