,area_id,area_name,crm_cd,crm_cd_1,crm_cd_2,crm_cd_3,crm_cd_4,crm_cd_desc,cross_street,date_occ,date_rptd,dr_no,location,location_1,mocodes,premis_cd,premis_desc,rpt_dist_no,status,status_desc,time_occ,vict_age,vict_descent,vict_sex,weapon_desc,weapon_used_cd,Month,Year,Latitude,Longitude,Zip Code
1261,16,Foothill,110,110,998,,,CRIMINAL HOMICIDE,,2011-07-13,2011-07-13T00:00:00.000,111613334,11600    BROMONT                      AV,"{'type': 'Point', 'coordinates': [-118.4048, 34.2809]}",0407 0430 0906 1100 1414 1409 1407 1402,501,SINGLE FAMILY DWELLING,1602,AA,Adult Arrest,1612,25,B,F,UNKNOWN FIREARM,106,7,2011,34.2809,-118.4048,91340
1317,05,Harbor,110,110,,,,CRIMINAL HOMICIDE,,2015-09-03,2015-09-03T00:00:00.000,150501088,25900 S  WESTERN                      AV,"{'type': 'Point', 'coordinates': [-118.3076, 33.7882]}",0430 1100 0202,101,STREET,0531,AA,Adult Arrest,1910,42,H,M,HAND GUN,102,9,2015,33.7882,-118.3076,90710
1349,09,Van Nuys,110,110,,,,CRIMINAL HOMICIDE,,2015-10-10,2015-10-11T00:00:00.000,150918012,6000    KESTER                       AV,"{'type': 'Point', 'coordinates': [-118.4574, 34.1794]}",0906 1100 0430,101,STREET,0941,AA,Adult Arrest,2250,19,H,M,UNKNOWN FIREARM,106,10,2015,34.1794,-118.4574,91411
1403,03,Southwest,110,110,,,,CRIMINAL HOMICIDE,COLISEUM                     ST,2016-12-03,2016-12-03T00:00:00.000,160326463,NICOLET                      AV,"{'type': 'Point', 'coordinates': [-118.3403, 34.0126]}",3037 3104 2000,101,STREET,0363,AA,Adult Arrest,0200,50,B,F,VEHICLE,307,12,2016,34.0126,-118.3403,90008
1555,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,VERNON                       AV,2016-04-05,2016-04-05T00:00:00.000,161210900,HARBOR                       FY,"{'type': 'Point', 'coordinates': [-118.2813, 34.0038]}",1822 0408,110,FREEWAY,1209,IC,Invest Cont,1300,19,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,4,2016,34.0038,-118.2813,90037
1766,01,Central,110,110,,,,CRIMINAL HOMICIDE,GLADYS                       AV,2017-02-12,2017-02-12T00:00:00.000,170106659,CENTRAL,"{'type': 'Point', 'coordinates': [-118.2397, 34.0429]}",1100 0430 1218 0906 2004,102,SIDEWALK,0148,AA,Adult Arrest,0317,42,H,M,HAND GUN,102,2,2017,34.0429,-118.2397,90013
1771,01,Central,110,110,998,,,CRIMINAL HOMICIDE,SAN PEDRO                    ST,2017-04-03,2017-04-03T00:00:00.000,170110825,7TH,"{'type': 'Point', 'coordinates': [-118.2468, 34.0407]}",1402 0411 0429 1310 2004,116,OTHER/OUTSIDE,0166,AA,Adult Arrest,2130,53,H,M,UNKNOWN WEAPON/OTHER WEAPON,500,4,2017,34.0407,-118.2468,90013
1794,01,Central,110,110,,,,CRIMINAL HOMICIDE,,2017-05-26,2017-05-26T00:00:00.000,170115263,500    GLADYS                       AV,"{'type': 'Point', 'coordinates': [-118.2405, 34.0421]}",0302 1100 0400 0906 0430,102,SIDEWALK,0158,AA,Adult Arrest,1128,35,B,M,HAND GUN,102,5,2017,34.0421,-118.2405,90013
1814,01,Central,110,110,,,,CRIMINAL HOMICIDE,,2017-06-23,2017-06-23T00:00:00.000,170117818,500 S  SAN PEDRO                    ST,"{'type': 'Point', 'coordinates': [-118.2439, 34.0442]}",1100 0430 0906 2004,102,SIDEWALK,0157,AA,Adult Arrest,0553,62,B,M,SEMI-AUTOMATIC PISTOL,109,6,2017,34.0442,-118.2439,90013
1820,01,Central,110,110,998,,,CRIMINAL HOMICIDE,WALL                         ST,2017-06-25,2017-06-25T00:00:00.000,170118021,4TH                          ST,"{'type': 'Point', 'coordinates': [-118.2447, 34.0464]}",1402 0430 0906 2004 1218 0930 1100,103,ALLEY,0138,AA,Adult Arrest,0650,43,B,M,UNKNOWN FIREARM,106,6,2017,34.0464,-118.2447,90013
